,date,baseline_full,event_full,baseline_window,event_window,baseline_peak_demand,event_peak_demand,baseline_cost,event_cost,event_peak_temp,baseline_peak_temp,savings,event_energy_savings
0,2018-06-12,758080.0,838240.0,122560.0,165600.0,61440.0,58880.0,0.0,0.0,75.37505000000003,71.72960000000006,0.0,-43040.0
1,2018-06-13,758080.0,900640.0,122560.0,187680.0,61440.0,60800.0,0.0,0.0,74.73470000000006,71.72960000000006,0.0,-65120.0
2,2018-07-10,758080.0,718560.0,122560.0,109280.0,61440.0,55040.0,0.0,0.0,76.32882500000005,71.72960000000006,0.0,13280.0
3,2018-07-16,871200.0,772160.0,148960.0,114560.0,64000.0,61440.0,0.0,0.0,66.84530000000001,71.06000000000009,0.0,34400.0
4,2018-07-17,871200.0,782080.0,148960.0,124640.0,64000.0,63360.0,0.0,0.0,68.15255000000002,71.06000000000009,0.0,24320.0
5,2018-07-19,871200.0,753920.0,148960.0,120640.0,64000.0,60160.0,0.0,0.0,68.27000000000001,71.06000000000009,0.0,28320.0
6,2018-07-24,871200.0,760000.0,148960.0,134240.0,64000.0,62720.0,0.0,0.0,69.66500000000005,71.06000000000009,0.0,14720.0
7,2018-07-25,871200.0,778240.0,148960.0,144160.0,64000.0,62080.0,0.0,0.0,71.48480000000004,71.06000000000009,0.0,4800.0
8,2018-07-27,871200.0,803520.0,148960.0,132960.0,64000.0,58880.0,0.0,0.0,64.54535000000003,71.06000000000009,0.0,16000.0
