,date,baseline_full,event_full,baseline_window,event_window,baseline_peak_demand,event_peak_demand,baseline_cost,event_cost,event_peak_temp,baseline_peak_temp,savings,event_energy_savings
0,2018-06-12,205440.0,253280.0,51680.0,48720.0,21440.0,24320.0,0.0,0.0,75.37505000000003,71.72960000000006,0.0,2960.0
1,2018-06-13,205440.0,197120.0,51680.0,45840.0,21440.0,18880.0,0.0,0.0,74.73470000000006,71.72960000000006,0.0,5840.0
2,2018-07-10,205440.0,230320.0,51680.0,61360.0,21440.0,27200.0,0.0,0.0,76.32882500000005,71.72960000000006,0.0,-9680.0
3,2018-07-16,238880.0,230800.0,61360.0,58640.0,21120.0,21120.0,0.0,0.0,66.84530000000001,71.06000000000009,0.0,2720.0
4,2018-07-17,238880.0,286160.0,61360.0,51760.0,21120.0,29760.0,0.0,0.0,68.15255000000002,71.06000000000009,0.0,9600.0
5,2018-07-19,238880.0,319760.0,61360.0,69280.0,21120.0,31360.0,0.0,0.0,68.27000000000001,71.06000000000009,0.0,-7920.0
6,2018-07-24,238880.0,303920.0,61360.0,66640.0,21120.0,29120.0,0.0,0.0,69.66500000000005,71.06000000000009,0.0,-5280.0
7,2018-07-25,238880.0,237760.0,61360.0,71360.0,21120.0,20480.0,0.0,0.0,71.48480000000004,71.06000000000009,0.0,-10000.0
8,2018-07-27,238880.0,224000.0,61360.0,56400.0,21120.0,21760.0,0.0,0.0,64.54535000000003,71.06000000000009,0.0,4960.0
