,date,baseline_full,event_full,baseline_window,event_window,baseline_peak_demand,event_peak_demand,baseline_cost,event_cost,event_peak_temp,baseline_peak_temp,savings,event_energy_savings
0,2018-06-12,84032.0,88048.0,10832.0,17176.0,8320.0,9696.0,0.0,0.0,76.55000000000005,74.03000000000004,0.0,-6344.0
1,2018-06-13,84032.0,80176.0,10832.0,10080.0,8320.0,8736.0,0.0,0.0,73.94000000000008,74.03000000000004,0.0,752.0
2,2018-07-10,137384.0,121264.0,29640.0,23424.0,12064.0,10112.0,0.0,0.0,76.10000000000005,91.94000000000003,0.0,6216.0
3,2018-07-16,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,71.66750000000005,74.57000000000006,0.0,0.0
4,2018-07-17,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,70.745,74.57000000000006,0.0,0.0
5,2018-07-19,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,73.17500000000003,74.57000000000006,0.0,0.0
6,2018-07-24,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,72.14000000000006,74.57000000000006,0.0,0.0
7,2018-07-25,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,73.49000000000008,74.57000000000006,0.0,0.0
8,2018-07-27,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,66.02000000000001,74.57000000000006,0.0,0.0
