,date,baseline_full,event_full,baseline_window,event_window,baseline_peak_demand,event_peak_demand,baseline_cost,event_cost,event_peak_temp,baseline_peak_temp,savings,event_energy_savings
0,2018-06-12,26000.0,70800.0,0.0,10880.0,5440.0,6080.0,0.0,0.0,93.49970000000002,101.99970500000003,0.0,-10880.0
1,2018-06-13,26000.0,53200.0,0.0,12800.0,5440.0,4800.0,0.0,0.0,99.87519650000004,101.99970500000003,0.0,-12800.0
2,2018-07-10,92880.0,85200.0,20640.0,18000.0,6080.0,7040.0,0.0,0.0,96.62530100000006,97.00033100000007,0.0,2640.0
3,2018-07-16,92880.0,89440.0,20640.0,18240.0,6080.0,5760.0,0.0,0.0,100.66640600000005,97.00033100000007,0.0,2400.0
4,2018-07-17,92880.0,79600.0,20640.0,16320.0,6080.0,5760.0,0.0,0.0,100.99970600000005,97.00033100000007,0.0,4320.0
5,2018-07-19,92880.0,88880.0,20640.0,18400.0,6080.0,7040.0,0.0,0.0,103.8749,97.00033100000007,0.0,2240.0
6,2018-07-24,92880.0,88320.0,20640.0,20720.0,6080.0,6720.0,0.0,0.0,90.33329000000003,95.50001300000005,0.0,-80.0
7,2018-07-25,92880.0,94960.0,20640.0,21360.0,6080.0,9920.0,0.0,0.0,87.87481700000005,97.00033100000007,0.0,-720.0
8,2018-07-27,92880.0,88880.0,20640.0,19200.0,6080.0,6080.0,0.0,0.0,87.25010900000001,97.00033100000007,0.0,1440.0
