,date,baseline_full,event_full,baseline_window,event_window,baseline_peak_demand,event_peak_demand,baseline_cost,event_cost,event_peak_temp,baseline_peak_temp,savings,event_energy_savings
0,2018-06-12,364160.0,331600.0,94400.0,76400.0,28480.0,30720.0,0.0,0.0,75.37505000000003,71.72960000000006,0.0,18000.0
1,2018-06-13,364160.0,388160.0,94400.0,99280.0,28480.0,28800.0,0.0,0.0,74.73470000000006,71.72960000000006,0.0,-4880.0
2,2018-07-10,364160.0,356560.0,94400.0,94400.0,28480.0,34560.0,0.0,0.0,76.32882500000005,71.72960000000006,0.0,0.0
3,2018-07-16,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,66.84530000000001,71.06000000000009,0.0,0.0
4,2018-07-17,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,68.15255000000002,71.06000000000009,0.0,0.0
5,2018-07-19,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,68.27000000000001,71.06000000000009,0.0,0.0
6,2018-07-24,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,69.66500000000005,71.06000000000009,0.0,0.0
7,2018-07-25,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,71.48480000000004,71.06000000000009,0.0,0.0
8,2018-07-27,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,64.54535000000003,71.06000000000009,0.0,0.0
